,Title,Publication_Info,Cited_by
62,Artificial intelligence and machine learning: present and future applications in health sciences,"FAR Rodríguez, LG Flores… - Seminars in Medical …, 2022 - mw.ageditor.ar",Cited by 66
63,"Advancements and challenges in machine learning: A comprehensive review of models, libraries, applications, and algorithms","S Tufail, H Riggs, M Tariq, AI Sarwat - Electronics, 2023 - mdpi.com",Cited by 74
64,The values encoded in machine learning research,"A Birhane, P Kalluri, D Card, W Agnew… - Proceedings of the …, 2022 - dl.acm.org",Cited by 290
65,Machine learning and AI in business intelligence: Trends and opportunities,"JP Bharadiya - International Journal of Computer (IJC), 2023 - researchgate.net",Cited by 276
66,A review of physics-based machine learning in civil engineering,"SR Vadyala, SN Betgeri, JC Matthews… - Results in Engineering, 2022 - Elsevier",Cited by 151
67,Machine-learning-based disease diagnosis: A comprehensive review,"MM Ahsan, SA Luna, Z Siddique - Healthcare, 2022 - mdpi.com",Cited by 293
68,A review on machine learning styles in computer vision—techniques and future directions,"SV Mahadevkar, B Khemani, S Patil, K Kotecha… - Ieee …, 2022 - ieeexplore.ieee.org",Cited by 132
69,A survey on dataset quality in machine learning,"Y Gong, G Liu, Y Xue, R Li, L Meng - Information and Software Technology, 2023 - Elsevier",Cited by 50
70,Machine learning on graphs: A model and comprehensive taxonomy,"I Chami, S Abu-El-Haija, B Perozzi, C Ré… - … of Machine Learning …, 2022 - jmlr.org",Cited by 359
71,"Has the future started? The current growth of artificial intelligence, machine learning, and deep learning","K Aggarwal, MM Mijwil, AH Al-Mistarehi… - Iraqi Journal for …, 2022 - iasj.net",Cited by 284
72,Interpretable machine learning: Fundamental principles and 10 grand challenges,"C Rudin, C Chen, Z Chen, H Huang… - Statistic …, 2022 - projecteuclid.org",Cited by 737
73,Promising directions of machine learning for partial differential equations,"SL Brunton, JN Kutz - Nature Computational Science, 2024 - nature.com",Cited by 5
74,Predictive models for concrete properties using machine learning and deep learning approaches: A review,"MM Moein, A Saradar, K Rahmati… - Journal of Building …, 2023 - Elsevier",Cited by 196
75,"Artificial intelligence and machine learning in clinical medicine, 2023","CJ Haug, JM Drazen - New England Journal of Medicine, 2023 - Mass Medical Soc",Cited by 551
76,Machine learning in drug discovery: a review,"S Dara, S Dhamercherla, SS Jadav, CHM Babu… - Artificial intelligence …, 2022 - Springer",Cited by 451
77,Machine learning for wireless sensor networks security: An overview of challenges and issues,"R Ahmad, R Wazirali, T Abu-Ain - Sensors, 2022 - mdpi.com",Cited by 126
78,Causal machine learning: A survey and open problems,"J Kaddour, A Lynch, Q Liu, MJ Kusner… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 137
79,"A review of Bayesian machine learning principles, methods, and applications","JP Bharadiya - International Journal of Innovative Science and …, 2023 - researchgate.net",Cited by 58
80,Innovative materials science via machine learning,"C Gao, X Min, M Fang, T Tao, X Zheng… - Advanced Functional …, 2022 - Wiley Online Library",Cited by 120
81,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review","M Soori, B Arezoo, R Dastres - Cognitive Robotics, 2023 - Elsevier",Cited by 409
82,"Machine learning: Past, present and future","A Tyagi, S Kukreja, MN Meghna, AK Tyagi - Neuroquantology, 2022 - search.proquest.com",Cited by 41
83,Interpretable machine learning for science with PySR and SymbolicRegression. jl,"M Cranmer - arXiv preprint arXiv:2305.01582, 2023 - arxiv.org",Cited by 143
84,Machine learning and the five big ideas in AI,"D Touretzky, C Gardner-McCune… - International Journal of …, 2023 - Springer",Cited by 55
85,Machine learning process evaluating damage classification of composites,"M Amini, A Rahmani - International Journal of Science and …, 2023 - papers.ssrn.com",Cited by 120
86,Data-driven machine learning in environmental pollution: gains and problems,"X Liu, D Lu, A Zhang, Q Liu, G Jiang - Environmental science & …, 2022 - ACS Publications",Cited by 203
87,Machine learning in disaster management: recent developments in methods and applications,"V Linardos, M Drakaki, P Tzionas… - Machine Learning and …, 2022 - mdpi.com",Cited by 130
88,Bridging biological cfDNA features and machine learning approaches,"T Moser, S Kühberger, I Lazzeri, G Vlachos, E Heitzer - Trends in Genetics, 2023 - cell.com",Cited by 50
89,Knowledge Discovery: Methods from data mining and machine learning,"X Shu, Y Ye - Social Science Research, 2023 - Elsevier",Cited by 124
90,Machine learning in weather prediction and climate analyses—applications and perspectives,"B Bochenek, Z Ustrnul - Atmosphere, 2022 - mdpi.com",Cited by 186
91,The role of artificial neural network and machine learning in utilizing spatial information,"A Goel, AK Goel, A Kumar - Spatial Information Research, 2023 - Springer",Cited by 100
92,Identifying who has long COVID in the USA: a machine learning approach using N3C data,"ER Pfaff, AT Girvin, TD Bennett, A Bhatia… - The Lancet Digital …, 2022 - thelancet.com",Cited by 151
93,Adversarial Machine Learning in the Context of Network Security: Challenges and Solutions,"M Khan, L Ghafoor - Journal of Computational Intelligence …, 2024 - thesciencebrigade.com",Cited by 113
94,A comprehensive survey on regularization strategies in machine learning,"Y Tian, Y Zhang - Information Fusion, 2022 - Elsevier",Cited by 191
95,Machine learning-enabled retrobiosynthesis of molecules,"T Yu, AG Boob, MJ Volk, X Liu, H Cui, H Zhao - Nature Catalysis, 2023 - nature.com",Cited by 55
96,Machine learning for intelligent data analysis and automation in cybersecurity: current and future prospects,"IH Sarker - Annals of Data Science, 2023 - Springer",Cited by 146
97,Data learning: Integrating data assimilation and machine learning,"C Buizza, CQ Casas, P Nadler, J Mack… - Journal of …, 2022 - Elsevier",Cited by 89
98,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment","K Swanson, E Wu, A Zhang, AA Alizadeh, J Zou - Cell, 2023 - cell.com",Cited by 159
99,Challenges to use machine learning in agricultural big data: a systematic literature review,"A Cravero, S Pardo, S Sepúlveda, L Muñoz - Agronomy, 2022 - mdpi.com",Cited by 103
100,A survey of machine learning and its applications,"M Madhu, P WHIG - International Journal of Machine Learning for …, 2022 - ijsdcs.com",Cited by 33
101,Automation of human behaviors and its prediction using machine learning,"H Jupalle, S Kouser, AB Bhatia, N Alam… - Microsystem …, 2022 - Springer",Cited by 103
102,An overview of machine learning applications for smart buildings,"K Alanne, S Sierla - Sustainable Cities and Society, 2022 - Elsevier",Cited by 190
103,Machine learning skills to K–12,"AB Sallow, RR Asaad, HB Ahmad… - Journal of Soft …, 2024 - publisher.uthm.edu.my",Cited by 7
104,Machine learning: theory to applications,"SL Mirtaheri, R Shahbazian - 2022 - taylorfrancis.com",Cited by 30
105,Dos and don'ts of machine learning in computer security,"D Arp, E Quiring, F Pendlebury, A Warnecke… - 31st USENIX Security …, 2022 - usenix.org",Cited by 371
106,Machine learning in earthquake seismology,"SM Mousavi, GC Beroza - Annual Review of Earth and …, 2023 - annualreviews.org",Cited by 89
107,OpenMM 8: molecular dynamics simulation with machine learning potentials,"P Eastman, R Galvelis, RP Peláez… - The Journal of …, 2023 - ACS Publications",Cited by 38
108,Machine learning techniques for pavement condition evaluation,"N Sholevar, A Golroo, SR Esfahani - Automation in Construction, 2022 - Elsevier",Cited by 121
109,Water quality classification using machine learning algorithms,"N Nasir, A Kansal, O Alshaltone, F Barneih… - Journal of Water …, 2022 - Elsevier",Cited by 169
110,"Open-world machine learning: applications, challenges, and opportunities","J Parmar, S Chouhan, V Raychoudhury… - ACM Computing …, 2023 - dl.acm.org",Cited by 96
111,The shapley value in machine learning,"B Rozemberczki, L Watson, P Bayer, HT Yang… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 185
112,Applications of Artificial Intelligent and Machine Learning Techniques in Image Processing,"S Boopathi, UK Kanike - … of Research on Thrust Technologies' Effect …, 2023 - igi-global.com",Cited by 59
113,Machine learning for micro-and nanorobots,"L Yang, J Jiang, F Ji, Y Li, KL Yung, A Ferreira… - Nature Machine …, 2024 - nature.com",Cited by 7
114,Machine learning techniques and data for stock market forecasting: A literature review,"MM Kumbure, C Lohrmann, P Luukka… - Expert Systems with …, 2022 - Elsevier",Cited by 330
115,Research on Machine Learning With Algorithms and Development,"L Yu, X Zhao, J Huang, H Hu… - Journal of Theory and …, 2023 - centuryscipub.com",Cited by 35
116,Overcoming the pitfalls and perils of algorithms: A classification of machine learning biases and mitigation methods,"B Van Giffen, D Herhausen, T Fahse - Journal of Business Research, 2022 - Elsevier",Cited by 148
117,"Review of artificial intelligence and machine learning technologies: classification, restrictions, opportunities and challenges","RI Mukhamediev, Y Popova, Y Kuchin, E Zaitseva… - Mathematics, 2022 - mdpi.com",Cited by 153
118,Learning machine learning with young children: Exploring informal settings in an African context,"IT Sanusi, K Sunday, SS Oyelere… - Computer Science …, 2024 - Taylor & Francis",Cited by 22
119,Artificial intelligence and machine learning in energy systems: A bibliographic perspective,"A Entezari, A Aslani, R Zahedi, Y Noorollahi - Energy Strategy Reviews, 2023 - Elsevier",Cited by 127
120,Using machine learning for healthcare challenges and opportunities,"A Alanazi - Informatics in Medicine Unlocked, 2022 - Elsevier",Cited by 141
121,Compute trends across three eras of machine learning,"J Sevilla, L Heim, A Ho, T Besiroglu… - … Joint Conference on …, 2022 - ieeexplore.ieee.org",Cited by 291
122,Machine learning in subsurface geothermal energy: Two decades in review,"ER Okoroafor, CM Smith, KI Ochie, CJ Nwosu… - Geothermics, 2022 - Elsevier",Cited by 93
123,A brief review of machine learning algorithms in forest fires science,"R Alkhatib, W Sahwan, A Alkhatieb, B Schütt - Applied Sciences, 2023 - mdpi.com",Cited by 37
124,Strategic Employee Performance Analysis in the USA: Leveraging Intelligent Machine Learning Algorithms,"T Paul, R Bommu - Unique Endeavor in Business & Social Sciences, 2024 - unbss.com",Cited by 25
125,The role of machine learning in cybersecurity,"G Apruzzese, P Laskov, E Montes de Oca… - … Threats: Research and …, 2023 - dl.acm.org",Cited by 148
126,Machine learning for electrocatalyst and photocatalyst design and discovery,"H Mai, TC Le, D Chen, DA Winkler… - Chemical …, 2022 - ACS Publications",Cited by 210
127,Emerging trends in machine learning: a polymer perspective,"TB Martin, DJ Audus - ACS Polymers Au, 2023 - ACS Publications",Cited by 53
128,A review of machine learning applications in human resource management,"S Garg, S Sinha, AK Kar, M Mani - International Journal of …, 2022 - emerald.com",Cited by 258
129,A survey on datasets for fairness‐aware machine learning,"T Le Quy, A Roy, V Iosifidis, W Zhang… - … Reviews: Data Mining …, 2022 - Wiley Online Library",Cited by 246
130,An introduction to optimization: with applications to machine learning,"EKP Chong, WS Lu, SH Zak - 2023 - books.google.com",Cited by 34
131,Stroke risk prediction with machine learning techniques,"E Dritsas, M Trigka - Sensors, 2022 - mdpi.com",Cited by 170
132,Explainable machine learning in materials science,"X Zhong, B Gallagher, S Liu, B Kailkhura… - npj computational …, 2022 - nature.com",Cited by 113
133,MACHINE LEARNING YORDAMIDA IDISHNI SATHINI ANIQLASH,"XO Olim o'g'li, JZ Azimjon o'g - Innovations in Technology and …, 2023 - humoscience.com",Cited by 36
134,Machine learning meets omics: applications and perspectives,"R Li, L Li, Y Xu, J Yang - Briefings in Bioinformatics, 2022 - academic.oup.com",Cited by 103
135,Can we predict T cell specificity with digital biology and machine learning?,"D Hudson, RA Fernandes, M Basham, G Ogg… - Nature Reviews …, 2023 - nature.com",Cited by 95
136,Jury learning: Integrating dissenting voices into machine learning models,"ML Gordon, MS Lam, JS Park, K Patel… - Proceedings of the …, 2022 - dl.acm.org",Cited by 172
137,"What is machine learning, artificial neural networks and deep learning?—Examples of practical applications in medicine","J Kufel, K Bargieł-Łączek, S Kocot, M Koźlik… - Diagnostics, 2023 - mdpi.com",Cited by 76
138,Machine learning in structural design: an opinionated review,"C Málaga-Chuquitaype - Frontiers in Built Environment, 2022 - frontiersin.org",Cited by 60
139,Machine learning and artificial intelligence in toxicological sciences,"Z Lin, WC Chou - Toxicological Sciences, 2022 - academic.oup.com",Cited by 50
140,Machine learning and the implementable efficient frontier,"TI Jensen, BT Kelly, S Malamud… - Swiss Finance Institute …, 2024 - aeaweb.org",Cited by 46
141,Machine learning‐driven biomaterials evolution,"A Suwardi, FK Wang, K Xue, MY Han, P Teo… - Advanced …, 2022 - Wiley Online Library",Cited by 121
142,Machine learning for synthetic data generation: a review,"Y Lu, M Shen, H Wang, X Wang, C van Rechem… - arXiv preprint arXiv …, 2023 - arxiv.org",Cited by 113
143,"Supervised machine learning in drug discovery and development: Algorithms, applications, challenges, and prospects","G Obaido, ID Mienye, OF Egbelowo… - Machine Learning with …, 2024 - Elsevier",Cited by 4
144,An unsupervised machine learning algorithms: Comprehensive review,"S Naeem, A Ali, S Anam… - International Journal of …, 2023 - journals.uob.edu.bh",Cited by 56
145,Classification and prediction of student performance data using various machine learning algorithms,"H Pallathadka, A Wenda, E Ramirez-Asís… - Materials today …, 2023 - Elsevier",Cited by 161
146,Machine learning empowered computer networks,"T Cerquitelli, M Meo, M Curado, L Skorin-Kapov… - Computer …, 2023 - Elsevier",Cited by 40
147,Data quantity governance for machine learning in materials science,"Y Liu, Z Yang, X Zou, S Ma, D Liu… - National Science …, 2023 - academic.oup.com",Cited by 50
148,A systematic review on machine learning models for online learning and examination systems,"S Kaddoura, DE Popescu, JD Hemanth - PeerJ Computer Science, 2022 - peerj.com",Cited by 59
149,A review of machine learning for near-infrared spectroscopy,"W Zhang, LC Kasun, QJ Wang, Y Zheng, Z Lin - Sensors, 2022 - mdpi.com",Cited by 63
150,Machine learning for microcontroller-class hardware: A review,"SS Saha, SS Sandha, M Srivastava - IEEE Sensors Journal, 2022 - ieeexplore.ieee.org",Cited by 122
151,The role of machine learning in tribology: A systematic review,"UMR Paturi, ST Palakurthy, NS Reddy - Archives of Computational …, 2023 - Springer",Cited by 48
152,Machine learning and deep learning approaches for cybersecurity: A review,"A Halbouni, TS Gunawan, MH Habaebi… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 142
153,Application of machine learning in ocean data,"R Lou, Z Lv, S Dang, T Su, X Li - Multimedia Systems, 2023 - Springer",Cited by 101
154,Sensing and machine learning for automotive perception: A review,"A Pandharipande, CH Cheng, J Dauwels… - IEEE Sensors …, 2023 - ieeexplore.ieee.org",Cited by 52
155,Applications and techniques for fast machine learning in science,"AMC Deiana, N Tran, J Agar, M Blott… - Frontiers in big …, 2022 - frontiersin.org",Cited by 60
156,"Physics-informed machine learning: A survey on problems, methods and applications","Z Hao, S Liu, Y Zhang, C Ying, Y Feng, H Su… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 124
157,Machine learning for medical imaging: methodological failures and recommendations for the future,"G Varoquaux, V Cheplygina - NPJ digital medicine, 2022 - nature.com",Cited by 392
158,The transformative potential of machine learning for experiments in fluid mechanics,"R Vinuesa, SL Brunton, BJ McKeon - Nature Reviews Physics, 2023 - nature.com",Cited by 39
159,A review of machine learning and deep learning approaches on mental health diagnosis,"NK Iyortsuun, SH Kim, M Jhon, HJ Yang, S Pant - Healthcare, 2023 - mdpi.com",Cited by 78
160,How machine learning can accelerate electrocatalysis discovery and optimization,"SN Steinmann, Q Wang, ZW Seh - Materials Horizons, 2023 - pubs.rsc.org",Cited by 42
161,Machine learning for organic photovoltaic polymers: a minireview,"A Mahmood, A Irfan, JL Wang - Chinese Journal of Polymer Science, 2022 - Springer",Cited by 109
162,"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","ATG Tapeh, MZ Naser - Archives of Computational Methods in …, 2023 - Springer",Cited by 130
163,Machine learning-based global maps of ecological variables and the challenge of assessing them,"H Meyer, E Pebesma - Nature Communications, 2022 - nature.com",Cited by 147
164,Weisfeiler and leman go machine learning: The story so far,"C Morris, Y Lipman, H Maron, B Rieck… - … of Machine Learning …, 2023 - dl.acm.org",Cited by 119
165,Substituting human decision-making with machine learning: Implications for organizational learning,"N Balasubramanian, Y Ye, M Xu - Academy of Management …, 2022 - journals.aom.org",Cited by 177
166,Machine learning for battery research,"Z Wei, Q He, Y Zhao - Journal of Power Sources, 2022 - Elsevier",Cited by 56
167,Choice modelling in the age of machine learning-discussion paper,"S Van Cranenburgh, S Wang, A Vij, F Pereira… - Journal of choice …, 2022 - Elsevier",Cited by 83
168,Machine learning in the Chinese stock market,"M Leippold, Q Wang, W Zhou - Journal of Financial Economics, 2022 - Elsevier",Cited by 295
169,Predicting the actual use of m-learning systems: a comparative approach using PLS-SEM and machine learning algorithms,"M Alshurideh, B Al Kurdi, SA Salloum… - Interactive Learning …, 2023 - Taylor & Francis",Cited by 252
170,A comprehensive review on detection of plant disease using machine learning and deep learning approaches,"C Jackulin, S Murugavalli - Measurement: Sensors, 2022 - Elsevier",Cited by 143
171,An introduction to quantum machine learning for engineers,"O Simeone - Foundations and Trends® in Signal Processing, 2022 - nowpublishers.com",Cited by 39
172,Research and application of machine learning for additive manufacturing,"J Qin, F Hu, Y Liu, P Witherell, CCL Wang… - Additive …, 2022 - Elsevier",Cited by 248
173,Intelligent model to predict early liver disease using machine learning technique,"TM Ghazal, AU Rehman, M Saleem… - … for Technology and …, 2022 - ieeexplore.ieee.org",Cited by 152
174,Machine learning-guided protein engineering,"P Kouba, P Kohout, F Haddadi, A Bushuiev… - ACS …, 2023 - ACS Publications",Cited by 46
175,Randomized clinical trials of machine learning interventions in health care: a systematic review,"D Plana, DL Shung, AA Grimshaw, A Saraf… - JAMA network …, 2022 - jamanetwork.com",Cited by 125
176,Application of machine learning in groundwater quality modeling-A comprehensive review,"R Haggerty, J Sun, H Yu, Y Li - Water Research, 2023 - Elsevier",Cited by 90
177,Exploring the impact of ChatGPT on education: A web mining and machine learning approach,"A Rejeb, K Rejeb, A Appolloni, H Treiblmaier… - … International Journal of …, 2024 - Elsevier",Cited by 46
178,Machine learning in solar physics,"A Asensio Ramos, MCM Cheung, I Chifu… - Living Reviews in Solar …, 2023 - Springer",Cited by 17
179,When physics meets machine learning: A survey of physics-informed machine learning,"C Meng, S Seo, D Cao, S Griesemer, Y Liu - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 75
180,Comparing machine learning algorithms for predicting COVID-19 mortality,"K Moulaei, M Shanbehzadeh… - BMC medical informatics …, 2022 - Springer",Cited by 144
181,Machine learning for hypertension prediction: a systematic review,"GFS Silva, TP Fagundes, BC Teixeira… - Current hypertension …, 2022 - Springer",Cited by 60
182,Asset Management in Machine Learning: State-of-research and State-of-practice,"S Idowu, D Strüber, T Berger - ACM Computing Surveys, 2022 - dl.acm.org",Cited by 39
183,"… oil price volatility using historical prices of five precious metals in context of green financing–A comparison of deep learning, machine learning, and statistical models","M Mohsin, F Jamaani - Resources Policy, 2023 - Elsevier",Cited by 17
184,High-throughput microbial culturomics using automation and machine learning,"Y Huang, RU Sheth, S Zhao, LA Cohen… - Nature …, 2023 - nature.com",Cited by 85
185,Machine learning in nutrition research,"D Kirk, E Kok, M Tufano, B Tekinerdogan… - Advances in …, 2022 - Elsevier",Cited by 55
186,Towards foundation models for scientific machine learning: Characterizing scaling and transfer behavior,"S Subramanian, P Harrington… - Advances in …, 2024 - proceedings.neurips.cc",Cited by 35
187,"Uncertainty quantification in scientific machine learning: Methods, metrics, and comparisons","AF Psaros, X Meng, Z Zou, L Guo… - Journal of Computational …, 2023 - Elsevier",Cited by 230
188,An innovative machine learning model for supply chain management,"H Lin, J Lin, F Wang - Journal of Innovation & Knowledge, 2022 - Elsevier",Cited by 74
