,Title,Authors,Year,Venue,Publisher,Citation_Count,Avg_Citations_Per_Year
86,Data-driven machine learning in environmental pollution: gains and problems,"X Liu, D Lu, A Zhang, Q Liu, G Jiang",2022,Environmental science & …,ACS Publications,203,67.67
87,Machine learning in disaster management: recent developments in methods and applications,"V Linardos, M Drakaki, P Tzionas…",2022,Machine Learning and …,mdpi.com,130,43.33
88,Bridging biological cfDNA features and machine learning approaches,"T Moser, S Kühberger, I Lazzeri, G Vlachos, E Heitzer",2023,Trends in Genetics,cell.com,50,25.0
89,Knowledge Discovery: Methods from data mining and machine learning,"X Shu, Y Ye",2023,Social Science Research,Elsevier,124,62.0
90,Machine learning in weather prediction and climate analyses—applications and perspectives,"B Bochenek, Z Ustrnul",2022,Atmosphere,mdpi.com,186,62.0
91,The role of artificial neural network and machine learning in utilizing spatial information,"A Goel, AK Goel, A Kumar",2023,Spatial Information Research,Springer,100,50.0
92,Identifying who has long COVID in the USA: a machine learning approach using N3C data,"ER Pfaff, AT Girvin, TD Bennett, A Bhatia…",2022,The Lancet Digital …,thelancet.com,151,50.33
93,Adversarial Machine Learning in the Context of Network Security: Challenges and Solutions,"M Khan, L Ghafoor",2024,Journal of Computational Intelligence …,thesciencebrigade.com,113,113.0
94,A comprehensive survey on regularization strategies in machine learning,"Y Tian, Y Zhang",2022,Information Fusion,Elsevier,191,63.67
95,Machine learning-enabled retrobiosynthesis of molecules,"T Yu, AG Boob, MJ Volk, X Liu, H Cui, H Zhao",2023,Nature Catalysis,nature.com,55,27.5
96,Machine learning for intelligent data analysis and automation in cybersecurity: current and future prospects,IH Sarker,2023,Annals of Data Science,Springer,146,73.0
97,Data learning: Integrating data assimilation and machine learning,"C Buizza, CQ Casas, P Nadler, J Mack…",2022,Journal of …,Elsevier,89,29.67
98,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment","K Swanson, E Wu, A Zhang, AA Alizadeh, J Zou",2023,Cell,cell.com,159,79.5
99,Challenges to use machine learning in agricultural big data: a systematic literature review,"A Cravero, S Pardo, S Sepúlveda, L Muñoz",2022,Agronomy,mdpi.com,103,34.33
100,A survey of machine learning and its applications,"M Madhu, P WHIG",2022,International Journal of Machine Learning for …,ijsdcs.com,33,11.0
101,Automation of human behaviors and its prediction using machine learning,"H Jupalle, S Kouser, AB Bhatia, N Alam…",2022,Microsystem …,Springer,103,34.33
102,An overview of machine learning applications for smart buildings,"K Alanne, S Sierla",2022,Sustainable Cities and Society,Elsevier,190,63.33
103,Machine learning skills to K–12,"AB Sallow, RR Asaad, HB Ahmad…",2024,Journal of Soft …,publisher.uthm.edu.my,7,7.0
104,Machine learning: theory to applications,"SL Mirtaheri, R Shahbazian",2022,,taylorfrancis.com,30,10.0
105,Dos and don'ts of machine learning in computer security,"D Arp, E Quiring, F Pendlebury, A Warnecke…",2022,31st USENIX Security …,usenix.org,371,123.67
106,Machine learning in earthquake seismology,"SM Mousavi, GC Beroza",2023,Annual Review of Earth and …,annualreviews.org,89,44.5
107,OpenMM 8: molecular dynamics simulation with machine learning potentials,"P Eastman, R Galvelis, RP Peláez…",2023,The Journal of …,ACS Publications,38,19.0
108,Machine learning techniques for pavement condition evaluation,"N Sholevar, A Golroo, SR Esfahani",2022,Automation in Construction,Elsevier,121,40.33
109,Water quality classification using machine learning algorithms,"N Nasir, A Kansal, O Alshaltone, F Barneih…",2022,Journal of Water …,Elsevier,169,56.33
110,"Open-world machine learning: applications, challenges, and opportunities","J Parmar, S Chouhan, V Raychoudhury…",2023,ACM Computing …,dl.acm.org,96,48.0
111,The shapley value in machine learning,"B Rozemberczki, L Watson, P Bayer, HT Yang…",2022,arXiv preprint arXiv …,arxiv.org,185,61.67
112,Applications of Artificial Intelligent and Machine Learning Techniques in Image Processing,"S Boopathi, UK Kanike",2023,… of Research on Thrust Technologies' Effect …,igi-global.com,59,29.5
113,Machine learning for micro-and nanorobots,"L Yang, J Jiang, F Ji, Y Li, KL Yung, A Ferreira…",2024,Nature Machine …,nature.com,7,7.0
114,Machine learning techniques and data for stock market forecasting: A literature review,"MM Kumbure, C Lohrmann, P Luukka…",2022,Expert Systems with …,Elsevier,330,110.0
115,Research on Machine Learning With Algorithms and Development,"L Yu, X Zhao, J Huang, H Hu…",2023,Journal of Theory and …,centuryscipub.com,35,17.5
116,Overcoming the pitfalls and perils of algorithms: A classification of machine learning biases and mitigation methods,"B Van Giffen, D Herhausen, T Fahse",2022,Journal of Business Research,Elsevier,148,49.33
117,"Review of artificial intelligence and machine learning technologies: classification, restrictions, opportunities and challenges","RI Mukhamediev, Y Popova, Y Kuchin, E Zaitseva…",2022,Mathematics,mdpi.com,153,51.0
118,Learning machine learning with young children: Exploring informal settings in an African context,"IT Sanusi, K Sunday, SS Oyelere…",2024,Computer Science …,Taylor & Francis,22,22.0
119,Artificial intelligence and machine learning in energy systems: A bibliographic perspective,"A Entezari, A Aslani, R Zahedi, Y Noorollahi",2023,Energy Strategy Reviews,Elsevier,127,63.5
120,Using machine learning for healthcare challenges and opportunities,A Alanazi,2022,Informatics in Medicine Unlocked,Elsevier,141,47.0
121,Compute trends across three eras of machine learning,"J Sevilla, L Heim, A Ho, T Besiroglu…",2022,… Joint Conference on …,ieeexplore.ieee.org,291,97.0
122,Machine learning in subsurface geothermal energy: Two decades in review,"ER Okoroafor, CM Smith, KI Ochie, CJ Nwosu…",2022,Geothermics,Elsevier,93,31.0
123,A brief review of machine learning algorithms in forest fires science,"R Alkhatib, W Sahwan, A Alkhatieb, B Schütt",2023,Applied Sciences,mdpi.com,37,18.5
124,Strategic Employee Performance Analysis in the USA: Leveraging Intelligent Machine Learning Algorithms,"T Paul, R Bommu",2024,Unique Endeavor in Business & Social Sciences,unbss.com,25,25.0
125,The role of machine learning in cybersecurity,"G Apruzzese, P Laskov, E Montes de Oca…",2023,… Threats: Research and …,dl.acm.org,148,74.0
126,Machine learning for electrocatalyst and photocatalyst design and discovery,"H Mai, TC Le, D Chen, DA Winkler…",2022,Chemical …,ACS Publications,210,70.0
127,Emerging trends in machine learning: a polymer perspective,"TB Martin, DJ Audus",2023,ACS Polymers Au,ACS Publications,53,26.5
128,A review of machine learning applications in human resource management,"S Garg, S Sinha, AK Kar, M Mani",2022,International Journal of …,emerald.com,258,86.0
129,A survey on datasets for fairness‐aware machine learning,"T Le Quy, A Roy, V Iosifidis, W Zhang…",2022,… Reviews: Data Mining …,Wiley Online Library,246,82.0
130,An introduction to optimization: with applications to machine learning,"EKP Chong, WS Lu, SH Zak",2023,,books.google.com,34,17.0
131,Stroke risk prediction with machine learning techniques,"E Dritsas, M Trigka",2022,Sensors,mdpi.com,170,56.67
132,Explainable machine learning in materials science,"X Zhong, B Gallagher, S Liu, B Kailkhura…",2022,npj computational …,nature.com,113,37.67
133,MACHINE LEARNING YORDAMIDA IDISHNI SATHINI ANIQLASH,"XO Olim o'g'li, JZ Azimjon o'g",2023,Innovations in Technology and …,humoscience.com,36,18.0
134,Machine learning meets omics: applications and perspectives,"R Li, L Li, Y Xu, J Yang",2022,Briefings in Bioinformatics,academic.oup.com,103,34.33
135,Can we predict T cell specificity with digital biology and machine learning?,"D Hudson, RA Fernandes, M Basham, G Ogg…",2023,Nature Reviews …,nature.com,95,47.5
136,Jury learning: Integrating dissenting voices into machine learning models,"ML Gordon, MS Lam, JS Park, K Patel…",2022,Proceedings of the …,dl.acm.org,172,57.33
137,"What is machine learning, artificial neural networks and deep learning?—Examples of practical applications in medicine","J Kufel, K Bargieł-Łączek, S Kocot, M Koźlik…",2023,Diagnostics,mdpi.com,76,38.0
138,Machine learning in structural design: an opinionated review,C Málaga-Chuquitaype,2022,Frontiers in Built Environment,frontiersin.org,60,20.0
139,Machine learning and artificial intelligence in toxicological sciences,"Z Lin, WC Chou",2022,Toxicological Sciences,academic.oup.com,50,16.67
140,Machine learning and the implementable efficient frontier,"TI Jensen, BT Kelly, S Malamud…",2024,Swiss Finance Institute …,aeaweb.org,46,46.0
141,Machine learning‐driven biomaterials evolution,"A Suwardi, FK Wang, K Xue, MY Han, P Teo…",2022,Advanced …,Wiley Online Library,121,40.33
142,Machine learning for synthetic data generation: a review,"Y Lu, M Shen, H Wang, X Wang, C van Rechem…",2023,arXiv preprint arXiv …,arxiv.org,113,56.5
143,"Supervised machine learning in drug discovery and development: Algorithms, applications, challenges, and prospects","G Obaido, ID Mienye, OF Egbelowo…",2024,Machine Learning with …,Elsevier,4,4.0
144,An unsupervised machine learning algorithms: Comprehensive review,"S Naeem, A Ali, S Anam…",2023,International Journal of …,journals.uob.edu.bh,56,28.0
145,Classification and prediction of student performance data using various machine learning algorithms,"H Pallathadka, A Wenda, E Ramirez-Asís…",2023,Materials today …,Elsevier,161,80.5
146,Machine learning empowered computer networks,"T Cerquitelli, M Meo, M Curado, L Skorin-Kapov…",2023,Computer …,Elsevier,40,20.0
147,Data quantity governance for machine learning in materials science,"Y Liu, Z Yang, X Zou, S Ma, D Liu…",2023,National Science …,academic.oup.com,50,25.0
148,A systematic review on machine learning models for online learning and examination systems,"S Kaddoura, DE Popescu, JD Hemanth",2022,PeerJ Computer Science,peerj.com,59,19.67
149,A review of machine learning for near-infrared spectroscopy,"W Zhang, LC Kasun, QJ Wang, Y Zheng, Z Lin",2022,Sensors,mdpi.com,63,21.0
150,Machine learning for microcontroller-class hardware: A review,"SS Saha, SS Sandha, M Srivastava",2022,IEEE Sensors Journal,ieeexplore.ieee.org,122,40.67
151,The role of machine learning in tribology: A systematic review,"UMR Paturi, ST Palakurthy, NS Reddy",2023,Archives of Computational …,Springer,48,24.0
152,Machine learning and deep learning approaches for cybersecurity: A review,"A Halbouni, TS Gunawan, MH Habaebi…",2022,IEEE …,ieeexplore.ieee.org,142,47.33
153,Application of machine learning in ocean data,"R Lou, Z Lv, S Dang, T Su, X Li",2023,Multimedia Systems,Springer,101,50.5
154,Sensing and machine learning for automotive perception: A review,"A Pandharipande, CH Cheng, J Dauwels…",2023,IEEE Sensors …,ieeexplore.ieee.org,52,26.0
155,Applications and techniques for fast machine learning in science,"AMC Deiana, N Tran, J Agar, M Blott…",2022,Frontiers in big …,frontiersin.org,60,20.0
156,"Physics-informed machine learning: A survey on problems, methods and applications","Z Hao, S Liu, Y Zhang, C Ying, Y Feng, H Su…",2022,arXiv preprint arXiv …,arxiv.org,124,41.33
157,Machine learning for medical imaging: methodological failures and recommendations for the future,"G Varoquaux, V Cheplygina",2022,NPJ digital medicine,nature.com,392,130.67
158,The transformative potential of machine learning for experiments in fluid mechanics,"R Vinuesa, SL Brunton, BJ McKeon",2023,Nature Reviews Physics,nature.com,39,19.5
159,A review of machine learning and deep learning approaches on mental health diagnosis,"NK Iyortsuun, SH Kim, M Jhon, HJ Yang, S Pant",2023,Healthcare,mdpi.com,78,39.0
160,How machine learning can accelerate electrocatalysis discovery and optimization,"SN Steinmann, Q Wang, ZW Seh",2023,Materials Horizons,pubs.rsc.org,42,21.0
161,Machine learning for organic photovoltaic polymers: a minireview,"A Mahmood, A Irfan, JL Wang",2022,Chinese Journal of Polymer Science,Springer,109,36.33
162,"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","ATG Tapeh, MZ Naser",2023,Archives of Computational Methods in …,Springer,130,65.0
163,Machine learning-based global maps of ecological variables and the challenge of assessing them,"H Meyer, E Pebesma",2022,Nature Communications,nature.com,147,49.0
164,Weisfeiler and leman go machine learning: The story so far,"C Morris, Y Lipman, H Maron, B Rieck…",2023,… of Machine Learning …,dl.acm.org,119,59.5
165,Substituting human decision-making with machine learning: Implications for organizational learning,"N Balasubramanian, Y Ye, M Xu",2022,Academy of Management …,journals.aom.org,177,59.0
166,Machine learning for battery research,"Z Wei, Q He, Y Zhao",2022,Journal of Power Sources,Elsevier,56,18.67
167,Choice modelling in the age of machine learning-discussion paper,"S Van Cranenburgh, S Wang, A Vij, F Pereira…",2022,Journal of choice …,Elsevier,83,27.67
168,Machine learning in the Chinese stock market,"M Leippold, Q Wang, W Zhou",2022,Journal of Financial Economics,Elsevier,295,98.33
169,Predicting the actual use of m-learning systems: a comparative approach using PLS-SEM and machine learning algorithms,"M Alshurideh, B Al Kurdi, SA Salloum…",2023,Interactive Learning …,Taylor & Francis,252,126.0
170,A comprehensive review on detection of plant disease using machine learning and deep learning approaches,"C Jackulin, S Murugavalli",2022,Measurement: Sensors,Elsevier,143,47.67
171,An introduction to quantum machine learning for engineers,O Simeone,2022,Foundations and Trends® in Signal Processing,nowpublishers.com,39,13.0
172,Research and application of machine learning for additive manufacturing,"J Qin, F Hu, Y Liu, P Witherell, CCL Wang…",2022,Additive …,Elsevier,248,82.67
173,Intelligent model to predict early liver disease using machine learning technique,"TM Ghazal, AU Rehman, M Saleem…",2022,… for Technology and …,ieeexplore.ieee.org,152,50.67
174,Machine learning-guided protein engineering,"P Kouba, P Kohout, F Haddadi, A Bushuiev…",2023,ACS …,ACS Publications,46,23.0
175,Randomized clinical trials of machine learning interventions in health care: a systematic review,"D Plana, DL Shung, AA Grimshaw, A Saraf…",2022,JAMA network …,jamanetwork.com,125,41.67
176,Application of machine learning in groundwater quality modeling-A comprehensive review,"R Haggerty, J Sun, H Yu, Y Li",2023,Water Research,Elsevier,90,45.0
177,Exploring the impact of ChatGPT on education: A web mining and machine learning approach,"A Rejeb, K Rejeb, A Appolloni, H Treiblmaier…",2024,… International Journal of …,Elsevier,46,46.0
178,Machine learning in solar physics,"A Asensio Ramos, MCM Cheung, I Chifu…",2023,Living Reviews in Solar …,Springer,17,8.5
179,When physics meets machine learning: A survey of physics-informed machine learning,"C Meng, S Seo, D Cao, S Griesemer, Y Liu",2022,arXiv preprint arXiv …,arxiv.org,75,25.0
180,Comparing machine learning algorithms for predicting COVID-19 mortality,"K Moulaei, M Shanbehzadeh…",2022,BMC medical informatics …,Springer,144,48.0
181,Machine learning for hypertension prediction: a systematic review,"GFS Silva, TP Fagundes, BC Teixeira…",2022,Current hypertension …,Springer,60,20.0
182,Asset Management in Machine Learning: State-of-research and State-of-practice,"S Idowu, D Strüber, T Berger",2022,ACM Computing Surveys,dl.acm.org,39,13.0
183,"… oil price volatility using historical prices of five precious metals in context of green financing–A comparison of deep learning, machine learning, and statistical models","M Mohsin, F Jamaani",2023,Resources Policy,Elsevier,17,8.5
184,High-throughput microbial culturomics using automation and machine learning,"Y Huang, RU Sheth, S Zhao, LA Cohen…",2023,Nature …,nature.com,85,42.5
185,Machine learning in nutrition research,"D Kirk, E Kok, M Tufano, B Tekinerdogan…",2022,Advances in …,Elsevier,55,18.33
186,Towards foundation models for scientific machine learning: Characterizing scaling and transfer behavior,"S Subramanian, P Harrington…",2024,Advances in …,proceedings.neurips.cc,35,35.0
187,"Uncertainty quantification in scientific machine learning: Methods, metrics, and comparisons","AF Psaros, X Meng, Z Zou, L Guo…",2023,Journal of Computational …,Elsevier,230,115.0
188,An innovative machine learning model for supply chain management,"H Lin, J Lin, F Wang",2022,Journal of Innovation & Knowledge,Elsevier,74,24.67
189,"Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects","J Wang, M Bretz, MAA Dewan, MA Delavar",2022,Science of The Total …,Elsevier,181,60.33
190,Machine learning and wireless communications,"YC Eldar, A Goldsmith, D Gündüz, HV Poor",2022,,books.google.com,39,13.0
191,Are formal methods applicable to machine learning and artificial intelligence?,"M Krichen, A Mihoub, MY Alzahrani…",2022,… Conference of Smart …,ieeexplore.ieee.org,104,34.67
192,Generalization in quantum machine learning from few training data,"MC Caro, HY Huang, M Cerezo, K Sharma…",2022,Nature …,nature.com,331,110.33
193,Mitigating the multicollinearity problem and its machine learning approach: a review,"JYL Chan, SMH Leow, KT Bea, WK Cheng…",2022,Mathematics,mdpi.com,227,75.67
194,Artificial intelligence and machine learning in drug discovery and development,"V Patel, M Shah",2022,Intelligent Medicine,Elsevier,126,42.0
195,Machine learning-driven credit risk: a systemic review,"S Shi, R Tse, W Luo, S D'Addona, G Pau",2022,Neural Computing and …,Springer,91,30.33
